Modelo,Formato,Respuesta,Tiempo de espera de usuario,Tiempo en procesar la solicitud,Tiempo que tarda en cargar el modelo,Tiempo que tarda el modelo en procesar la entrada,Tiempo que el modelo genera tokens,Tokens de entrada,Tokens de salida,Tokens generados por segundo,Coste de la petición,Coste,Correccion,Claridad,Completitud,ID,Categoria
Perplexity,texto,La capital de España es **Madrid**.[1][2],2.401281400001608,,,,0.14592780000020866,9,16,109.64326194170762,0.005,0.00503,10,10,10,1,Conocimiento general
Perplexity,binary,La pregunta decodificada es: **¿Cuál es la capital de España?** La respuesta es **Madrid**.[2][5],2.981163700002071,,,,0.4574192000000039,131,33,72.14388901908734,0.005,0.00516,10,10,10,1,Conocimiento general
Perplexity,hexa,"The text decodes to **“¿Qué es la capital de España?”** — in English, **“What is the capital of Spain?”**[1]

The answer is **Madrid**.",2.8268223000013677,,,,0.45937620000040624,33,41,89.25146753350248,0.005,0.00507,10,10,10,1,Conocimiento general
Perplexity,json,"La capital de **España** es **Madrid**.[1][2]

Madrid es también la ciudad más poblada del país y sede del Gobierno y de las principales instituciones del Estado.[2][7]",3.5087581999978283,,,,0.3649132999998983,16,49,134.27847107796197,0.005,0.00507,10,10,10,1,Conocimiento general
Perplexity,csv,"La capital de España es **Madrid**.[1][2][7]

Madrid también es la ciudad más poblada del país y sede del Gobierno y de la Jefatura del Estado.[1][2][7]",1.2078370999988692,,,,0.30372480000005453,11,52,171.20761952922732,0.005,0.00506,10,10,10,1,Conocimiento general
Perplexity,xml,"La capital de España es **Madrid**.[1][2]

Madrid es también la ciudad más poblada del país y sede del Gobierno y de las principales instituciones del Estado.[2][5]",1.2744858999976714,,,,0.364516999998159,22,46,126.1943887397085,0.005,0.00507,10,10,10,1,Conocimiento general
Perplexity,html,"La capital de España es **Madrid**.[2][5]

Madrid es además la ciudad más poblada del país y sede del Gobierno y de las principales instituciones del Estado.[2][5]",1.4216123999976844,,,,0.4576318999970681,29,46,100.51746829776225,0.005,0.00508,10,10,10,1,Conocimiento general
Perplexity,texto,"Cristóbal Colón **descubrió América en 1492**; la fecha tradicionalmente señalada es el **12 de octubre de 1492**.[1][2][3]

Si quieres, también puedo explicarte **por qué esa fecha se celebra** y **qué lugar exacto llegó a “descubrir”** Colón en su primer viaje.",2.420071000000462,,,,0.7773726000013994,11,86,110.62905998982365,0.005,0.0051,10,10,10,2,Conocimiento general
Perplexity,binary,"¿En qué año descubrió Colón América? La respuesta es 1492, cuando Cristóbal Colón llegó a las Antillas el 12 de octubre[1][2].

Si la pregunta era por **Colombia**, no fue Colón quien la “descubrió”; ese territorio se suele atribuir a Alonso de Ojeda en 1499[14].",4.347991599999659,,,,0.6562348999977985,167,84,128.0029452872467,0.005,0.00525,10,10,10,2,Conocimiento general
Perplexity,hexa,"**“Descubrí Colón América?”** means **“Did Columbus discover America?”** in Spanish, with some spelling/encoding noise in the query.[1][4][5]

The historical answer is **no, not in the sense of being the first human to reach the Americas**. Christopher Columbus reached the Caribbean in 1492, but Indigenous peoples had already lived throughout the Americas for thousands of years, and Norse explorers reached parts of North America centuries earlier.[1][2][3]

If you want, I can also answer this in **simple Spanish** or give a **short school-style version**.",3.316460400001233,,,,1.2456012000002374,45,134,107.57857330257426,0.005,0.00518,10,10,10,2,Conocimiento general
Perplexity,json,"Cristóbal Colón descubrió América en **1492**.[1][2][3]

La fecha tradicionalmente asociada con ese hecho es el **12 de octubre de 1492**, cuando llegó a Guanahaní, en las Bahamas.[1][2][7]",1.4723407000019506,,,,0.3903688999998849,18,69,176.75588398568723,0.005,0.00509,10,10,10,2,Conocimiento general
Perplexity,csv,"Cristóbal Colón **descubrió América en 1492**; la fecha tradicionalmente señalada es el **12 de octubre de 1492**.[1][2][3]

Si quieres, también te puedo decir **por qué se usa esa fecha** y qué ocurrió en su primer viaje.",1.8067141999999876,,,,0.6452787999987777,13,72,111.57967687786487,0.005,0.00509,10,10,10,2,Conocimiento general
Perplexity,xml,Cristóbal Colón descubrió América en **1492**; la fecha tradicionalmente citada es el **12 de octubre de 1492**.[1][2],1.349865200001659,,,,0.3023616000027687,24,42,138.9065278117837,0.005,0.00507,10,10,10,2,Conocimiento general
